112,Only You,R&B,96
112,Only You (SE),R&B,96
112,Its Over Now (QH),R&B,98
112,Its Over Now,R&B,98
112,Its Over Now (SE),R&B,98
112,Dance With Me (Aca Out) (SE),00s,102
112,Dance With Me (QH),00s,102
112,Dance With Me (SE),00s,102
112,Peaches And Cream (QH),00s,102
112,Peaches And Cream (SE),00s,102
112,Peaches And Cream,00s,102
112,Peaches And Cream (QH),00s,102
112,Sexy And You Now It (With Clap) (Phase Loop),00s,102
311,Love Song,Alternative,140
311,Come Original (SE),Alternative,94
311,Amber,Alternative,83
311,Amber (QH),Alternative,83
311,All Mixed Up,90s,93
311,All Mixed Up (QH),90s,93
501,Kill Your Boss (QH) (Barely Alive Rmx),Twerk/Trap,100
702,Where My Girls At (QH),R&B,92
702,Where My Girls At (SE),90s,91
? & The Mysterians,96 Tears (ReDrum),60s,124
? & The Mysterians,96 Tears (ReDrum) (SE),60s,124
.fun,Some Nights (ReDrum),10s,108
10cc,I'm Not In Love (ReDrum) (SE),80s,140
112 ft Lil Zane,Anywhere,90s,126
112 ft Lil Zane,Anywhere (SE),90s,126
112 ft Ludacris,Hot and Wet (QH),R&B,104
112 ft Ludacris,Hot and Wet (SE),R&B,104
112 ft Mase,Love Me (SE),R&B,90
112 ft The Notorious B.I.G & Ma$e,Only You (Bad Boy Rmx),90s,96
112 ft The Notorious B.I.G.,Only You,R&B,96
112 ft The Notorious B.I.G.,Only You (SE),R&B,96
2 Chainz,I'm Different (Enferno Remix) (SE),Twerk/Trap,100
2 Chainz,I'm Different (DIRTY),Hip-Hop,98
2 Chainz,I'm Different (DIRTY) (SE),Hip-Hop,98
2 Chainz,I'm Different,Hip-Hop,98
2 Chainz,I'm Different (SE),Hip-Hop,98
2 Chainz,Used 2 (SE),Hip-Hop,89
2 Chainz,Watch Out (DIRTY),Hip-Hop,130
2 Chainz,Watch Out (DIRTY) (QH),Hip-Hop,130
2 Chainz,Watch Out,Hip-Hop,130
2 Chainz,Watch Out (QH),Hip-Hop,130
2 Chainz,It's A Vibe (DIRTY),Hip-Hop,146
2 Chainz,It's A Vibe,Hip-Hop,146
2 Chainz,Birthday Song (Trap Remix) (Phase Edit),Club,72
2 Chainz,Birthday Song (DIRTY) (QH) (Trap Rmx),Club,72
2 Chainz ft Gucci & Quavo,Good Drank (DIRTY),Hip-Hop,130
2 Chainz ft Gucci & Quavo,Good Drank (DIRTY) (SE),Hip-Hop,130
2 Chainz ft Gucci & Quavo,Good Drank,Hip-Hop,130
2 Chainz ft Gucci & Quavo,Good Drank (SE),Hip-Hop,130
2 Chainz vs Outkast,I'm Different (DIRTY) (ATLiens Blend),,98
2 In A Room,Wiggle It (Chorus Only) (QH),90s,123
2 In A Room,Wiggle It (QH) (Kutt Edit,90s,89
2 In A Room,Wiggle It (SE),90s,89
2 Live Crew,Move Somethin (SE) (DIRTY),Hip-Hop,125
2 Live Crew,Hoochie Mama (QH) (DIRTY),Hip-Hop,132
2 Live Crew,Hoochie Mama (DIRTY),Hip-Hop,132
2 Live Crew,Pop That Pussy (DIRTY) (QH),90s,128
2 Live Crew,Shake a Lil Somethin (DIRTY) (QH),90s,138
2 Live Crew,Shake a Lil Somethin (DIRTY) (SE),90s,138
2 Live Crew,Banned In The USA (SE),90s,116
2 Live Crew,Banned In The USA (QH),80s,116
2 Live Crew,Me So Horny (DIRTY) (SE),80s,129
2 Live Crew,Me So Horny (Loop),80s,129
2 Live Crew,Me So Horny (SE),80s,129
2 Live Crew,We Want Some Pussy (DIRTY),80s,125
2 Live Crew,We Want Some Pussy (DIRTY) (SE),80s,125
2 Milly,Milly Rock (DIRTY) (Devastator Rmx) (SE),Twerk/Trap,72
2 Much,Wild Thang,80s,92
2 Pac,Hit Em Up (DIRTY) (SE),Hip-Hop,95
2 Pac,Changes (QH),90s,111
2 Pistols (feat. French Montana),Know That (DIRTY) (QH),Hip-Hop,140
2 Pistols (feat. French Montana),Know That (DIRTY) (SE),Hip-Hop,140
2 Unlimited,Get Ready For This (Steve Aoki Rmx) (SE),Club,128
2 Unlimited,Get Ready (Steve Aoki Remix) (SE),Club,128
2 Unlimited,Get Ready For This (QH),90s,125
2 Unlimited,Get Ready For This (SE),90s,125
20 Fingers,Lick It,90s,127
20 Fingers,Short Dick Man (DIRTY) (Aca In & Out) (QH),90s,127
20 Fingers,Short Dick Man (DIRTY) (SE),90s,127
21 Savage,FaceTime (DIRTY),R&B,93
21 Savage,FaceTime (DIRTY) (SE),R&B,93
21 Savage,Bank Account (DIRTY),Hip-Hop,75
21 Savage,Bank Account (DIRTY) (SE),Hip-Hop,75
21 Savage,Bank Account,Hip-Hop,75
21 Savage,Bank Account (SE),Hip-Hop,75
21 Savage,Numb (DIRTY) (QH),Hip-Hop,82
21 Savage,Numb (DIRTY) (SE),Hip-Hop,82
24hrs ft Ty Dolla Sign & Wiz Khalifa,What You Like (DIRTY) (Hooks & Ty Dolla $ign Only),R&B,140
24hrs ft Ty Dolla Sign & Wiz Khalifa,What You Like (DIRTY),R&B,140
24hrs ft Ty Dolla Sign & Wiz Khalifa,What You Like (DIRTY) (SE),R&B,140
24hrs ft Ty Dolla Sign & Wiz Khalifa,What You Like (Hooks & Ty Dolla $ign Only),R&B,140
24hrs ft Ty Dolla Sign & Wiz Khalifa,What You Like,R&B,140
24hrs ft Ty Dolla Sign & Wiz Khalifa,What You Like (SE),R&B,140
2AM Club,Worry About You (QH),00s,85
2AM Club,Worry About You,00s,85
2AM Club ft Big Sean,Mary,10s,79
2AM Club ft Big Sean,Mary (SE),10s,79
2nd II None,Didn't Mean To Turn You On,Hip-Hop,97
2nd II None,Didn't Mean To Turn You On (SE),Hip-Hop,97
2nd II None,If You Want It (SE),90s,107
2Pac,I Get Around (DIRTY) (Ncredible Noodles Rmx) (SE),Twerk/Trap,100
2Pac,California Love (Mayeda Rmx),Twerk/Trap,100
2Pac,California Love (Mayeda Rmx) (SE),Twerk/Trap,100
2Pac,How Do You Want It,Hip-Hop,92
2Pac,How Do You Want It (Edit),Hip-Hop,92
2Pac,Changes (Aca Out) (DIRTY),Hip-Hop,111
2Pac,California Love (Remix),Hip-Hop,92
2Pac,California Love (Remix) (No Dre) (SE),Hip-Hop,92
2Pac,All About U (Dirty) (QH),Hip-Hop,103
2Pac,All About U (Dirty),Hip-Hop,103
2Pac,All About U (Dirty) (SE),Hip-Hop,103
2Pac,Baby Don't Cry (Keep Ya Head Up) (DIRTY) (SE),Hip-Hop,94
2Pac,Fuck All Y'all (DIRTY),Hip-Hop,85
2Pac,Ambitionz As A Ridah (DIRTY),Hip-Hop,87
2Pac,Ambitionz As A Ridah,Hip-Hop,87
2Pac,Hit 'Em Up (DIRTY) (QH),Hip-Hop,95
